OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00045136,E01008883,373,7,5,6,5,8,4,5,6,7,6,4,9,5,10,3,3,5,4,8,5,5,3,6,6,1,1,3,6,4,4,3,9,7,6,6,5,7,8,7,6,7,4,5,5,7,5,3,10,1,4,4,7,6,2,4,7,3,3,3,5,5,2,3,5,2,1,4,3,5,1,2,5,1,1,3,3,2,1,0,2,0,4,1,1,1,0,0,0,0,0,2
E00045125,E01008884,373,5,8,7,5,8,10,12,9,8,6,6,7,9,8,6,6,2,6,7,5,4,2,4,6,5,5,9,7,3,2,8,3,6,7,8,5,5,11,4,5,7,5,7,10,9,4,4,4,4,4,1,3,3,2,6,4,2,2,6,2,2,0,3,2,1,2,0,0,3,0,1,1,3,1,0,1,2,0,1,1,0,1,0,1,0,1,2,0,0,2,4
E00045129,E01008884,471,7,14,6,12,9,9,10,9,9,9,9,6,12,7,4,12,8,4,5,11,5,7,8,6,5,9,10,14,5,3,9,14,5,7,7,7,9,7,5,12,5,7,4,2,5,6,6,4,5,5,4,9,6,5,6,2,6,6,3,1,5,5,4,2,4,2,1,1,0,1,3,2,1,0,1,0,0,0,1,0,1,1,0,1,1,0,4,1,2,2,2
E00045131,E01008884,537,7,11,8,13,13,12,14,12,12,12,9,11,10,9,15,12,10,5,6,8,8,7,6,8,4,9,6,8,14,8,15,8,8,9,11,7,8,10,17,7,10,3,6,10,12,9,10,11,6,2,6,5,2,7,5,2,2,4,2,6,4,3,2,0,2,3,0,0,1,1,1,0,0,0,1,0,2,1,1,0,1,0,1,1,2,0,0,3,0,0,0
E00045134,E01008884,514,9,8,15,10,12,11,17,10,11,16,14,7,11,14,10,9,3,9,7,10,6,9,9,5,6,8,8,9,7,8,10,11,10,10,5,6,6,13,6,8,7,8,6,8,6,6,7,10,4,4,9,7,5,1,2,0,3,2,5,2,2,4,1,3,4,2,1,2,2,3,1,0,3,1,2,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1
E00045135,E01008884,347,8,8,3,9,6,6,10,7,9,10,6,11,4,4,5,7,4,4,4,3,5,5,1,1,3,0,6,6,3,8,7,9,8,4,5,6,8,6,7,4,6,3,5,4,3,1,4,6,4,1,3,5,5,4,2,5,3,0,3,2,4,4,4,1,2,2,2,1,1,2,1,1,1,0,3,2,5,1,1,2,1,0,0,1,1,3,0,0,1,0,1
E00045137,E01008885,366,4,9,2,9,7,10,9,7,9,6,5,7,4,6,4,3,4,2,3,3,4,7,3,5,5,7,7,9,9,6,6,6,8,3,3,4,7,3,3,3,4,4,7,4,2,3,2,6,1,4,8,3,2,3,7,2,5,8,5,2,5,4,6,4,0,3,6,1,2,2,1,2,0,2,3,2,4,0,0,1,2,1,4,1,2,1,0,1,0,1,2
E00045143,E01008885,372,4,9,3,7,3,7,3,7,4,6,4,6,5,6,7,4,3,3,0,5,5,5,7,7,3,7,6,7,6,4,5,5,6,4,6,3,1,4,6,7,4,4,5,4,1,6,3,3,2,7,7,9,5,6,6,7,3,6,1,5,3,2,6,4,1,5,4,6,9,2,1,4,5,2,1,1,1,1,3,0,1,2,1,2,4,3,1,1,1,0,1
E00045146,E01008885,355,2,7,1,3,6,3,4,6,4,7,1,1,0,3,2,5,3,4,4,2,7,7,4,8,6,5,8,5,11,2,3,6,7,2,2,1,6,4,3,6,2,2,4,3,4,2,10,3,6,8,4,3,6,8,10,10,2,3,2,4,1,4,4,4,4,3,7,6,6,0,4,3,3,2,1,2,4,2,3,3,1,6,1,2,4,0,0,0,3,1,4
E00045149,E01008885,216,2,4,3,4,1,2,1,1,2,3,4,2,2,2,2,1,1,3,2,0,0,9,4,2,0,2,1,1,4,5,3,2,6,2,3,1,1,1,4,1,1,2,3,2,1,1,5,2,2,4,3,4,2,2,3,2,6,4,4,3,4,5,4,1,6,2,3,4,0,0,2,3,4,2,3,2,0,3,0,1,1,3,1,2,3,2,2,0,1,0,2
E00045130,E01008886,323,2,6,7,8,6,6,3,6,5,5,7,6,9,4,9,3,5,4,4,1,2,3,3,1,2,4,8,0,2,3,4,14,6,1,5,2,9,3,6,8,4,6,3,3,3,3,4,0,2,5,3,4,2,6,4,4,5,6,2,4,0,0,1,5,0,6,6,5,4,7,1,4,2,0,0,2,0,1,1,3,3,0,1,2,2,1,0,0,0,0,1
E00045132,E01008886,267,1,7,6,3,9,9,7,4,3,7,2,6,3,7,3,2,5,2,2,3,1,2,1,4,2,8,6,5,6,4,5,0,5,5,5,4,4,8,1,1,2,4,3,0,5,6,0,5,6,5,4,6,0,1,2,1,1,3,3,2,2,1,2,4,1,5,6,0,1,0,0,2,2,2,2,0,0,0,2,1,2,2,1,0,0,0,0,0,2,0,0
E00045133,E01008886,269,6,9,1,8,1,8,8,9,5,4,7,2,4,3,2,4,4,3,1,2,3,2,2,3,2,5,0,1,10,4,6,7,5,8,12,4,3,3,2,3,4,4,2,4,1,4,2,2,3,3,2,1,5,5,4,6,0,2,2,3,2,1,2,1,2,4,1,2,5,2,0,0,0,0,1,2,2,1,1,0,0,0,1,1,3,0,0,0,0,0,0
E00045139,E01008886,127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,2,0,0,1,2,0,0,0,0,1,1,2,1,0,3,2,4,1,2,4,3,4,2,3,5,8,5,2,5,2,8,5,8,1,3,2,3,4,3,2,1,2,0,3,1,0,2,2,0,0,0,0,5
E00045141,E01008886,295,7,2,8,5,3,6,5,5,9,5,8,4,2,3,1,1,1,5,2,4,5,1,2,3,2,5,3,6,7,8,4,6,6,9,2,4,3,6,1,7,6,1,5,1,3,3,2,1,5,2,6,4,4,6,3,3,4,2,4,3,2,5,1,1,3,2,2,2,2,5,0,3,1,2,4,3,1,4,1,0,2,1,0,1,1,0,0,1,0,0,1
E00045144,E01008886,327,6,4,5,4,4,4,2,2,9,2,2,1,1,2,7,2,2,4,4,3,6,2,3,3,1,8,7,3,8,3,4,3,11,5,3,5,5,6,7,5,6,4,6,4,4,1,2,4,3,3,4,3,4,5,4,7,6,6,8,5,3,4,6,7,1,5,2,3,5,6,3,1,4,2,1,3,1,1,2,0,0,0,0,4,0,2,3,0,0,0,1
E00045138,E01008887,311,8,3,3,5,6,7,9,5,6,6,3,3,6,6,3,8,4,5,5,5,3,2,2,5,3,10,4,3,5,5,0,4,6,3,7,4,4,6,5,3,3,8,5,4,3,3,0,6,4,2,4,5,3,6,3,3,6,5,3,1,2,2,4,3,5,3,2,4,2,5,0,2,2,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1
E00045140,E01008887,334,6,4,5,12,8,6,11,10,9,3,8,6,1,6,3,4,4,4,3,2,4,3,3,2,3,0,2,5,8,7,1,6,7,4,6,8,6,4,3,4,8,5,3,2,3,2,1,2,5,4,7,3,7,0,5,3,5,5,1,2,7,1,3,3,8,2,5,3,1,5,1,2,7,2,0,0,1,2,1,0,2,0,1,1,0,0,0,0,1,0,1
E00045142,E01008887,375,5,10,11,8,9,4,8,6,9,6,10,8,6,2,3,5,4,8,2,6,4,5,2,5,3,4,5,8,10,8,2,4,6,6,7,3,7,6,6,5,6,3,6,3,1,5,1,6,6,4,9,5,0,3,2,5,3,11,5,3,4,4,4,1,3,2,2,0,4,1,2,3,4,0,2,0,2,1,1,1,2,2,1,1,0,0,3,0,1,0,1
E00045147,E01008887,286,9,5,9,8,5,7,8,3,7,4,5,3,4,4,2,4,4,6,2,5,3,4,2,2,3,2,2,4,7,3,2,6,5,5,7,6,5,3,6,7,3,3,4,4,5,3,2,5,1,2,4,6,5,2,1,1,4,2,3,2,3,3,1,3,2,4,3,1,3,2,0,2,0,1,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1
E00045152,E01008887,317,3,5,7,9,8,7,6,7,5,5,3,5,3,3,5,8,3,4,5,2,2,4,3,0,3,7,4,6,4,4,6,8,3,4,4,5,5,3,6,4,6,3,7,3,1,2,1,4,0,2,1,3,4,3,7,7,3,10,6,5,5,3,4,5,3,4,2,3,3,0,0,3,4,2,0,0,0,2,1,0,1,0,2,0,1,0,0,0,3,0,0
E00045150,E01008888,317,6,5,4,9,1,0,1,1,6,3,7,6,3,3,6,7,6,2,3,2,5,3,6,4,3,8,2,4,6,4,7,4,9,10,3,4,8,3,2,3,3,4,5,5,5,3,2,5,3,7,6,5,2,3,4,2,5,1,3,9,2,5,6,4,3,4,2,5,2,3,0,1,2,0,0,2,1,3,3,2,1,0,0,0,1,0,2,0,2,0,0
E00045151,E01008888,310,4,3,2,5,1,2,6,2,3,3,3,3,1,4,2,7,4,2,3,4,6,6,2,5,3,5,4,5,6,8,4,6,3,5,4,5,1,7,3,3,7,4,3,5,4,5,3,3,3,2,4,6,6,4,7,8,9,3,5,3,2,2,4,1,6,3,0,2,1,2,4,1,3,1,2,1,1,3,4,0,3,4,3,0,5,1,0,0,0,1,1
E00045155,E01008888,366,4,6,5,5,5,2,6,4,11,2,11,2,4,3,4,4,4,7,6,0,4,4,2,2,4,4,9,8,6,8,9,4,10,5,6,5,0,7,7,4,10,1,4,6,4,1,5,5,5,4,3,3,7,3,2,5,7,8,12,4,4,5,7,3,2,1,2,2,4,4,0,2,1,2,1,0,2,3,3,1,1,4,2,1,1,0,2,2,0,0,2
E00045156,E01008888,287,5,2,5,1,5,2,4,0,2,3,5,3,2,0,6,2,4,5,2,5,8,6,7,1,4,4,4,1,6,7,7,4,3,4,10,2,4,3,5,4,3,1,4,9,1,5,4,4,2,1,4,1,1,6,2,4,4,5,0,3,7,5,2,3,2,2,0,2,4,3,3,2,5,0,4,1,1,2,3,2,3,0,0,2,1,0,0,1,2,0,4
E00045157,E01008888,320,11,4,5,1,5,8,4,3,2,4,4,7,7,8,5,2,3,3,4,5,3,2,1,4,4,2,3,5,3,6,10,3,3,3,4,1,3,3,5,2,5,6,6,0,3,4,1,8,8,6,3,7,4,4,5,3,3,2,4,5,4,4,5,0,5,4,4,2,1,4,2,3,1,0,3,1,4,3,2,1,4,4,0,1,0,1,1,2,0,0,2
E00045080,E01008889,397,6,4,5,4,6,5,8,4,6,8,2,2,3,2,6,6,4,6,4,5,4,7,3,8,3,13,8,8,9,1,7,6,2,5,2,7,5,5,3,8,2,5,4,8,4,7,4,4,6,3,5,10,8,4,3,7,3,3,4,7,7,4,3,4,7,3,5,5,2,2,4,1,6,2,2,2,3,4,1,3,1,1,5,0,1,1,2,0,0,2,3
E00045081,E01008889,295,1,0,3,1,2,2,2,5,2,2,3,2,1,3,2,0,4,8,6,5,15,5,13,3,2,2,2,3,9,3,6,2,3,1,4,1,3,3,2,3,3,1,2,3,6,5,1,1,6,1,6,5,2,3,3,4,4,1,3,2,0,3,2,2,4,5,2,2,1,1,2,2,1,2,3,2,3,2,2,3,3,4,6,2,4,3,4,3,5,5,11
E00045085,E01008889,292,2,1,1,1,3,2,4,3,3,1,2,3,3,4,2,3,2,4,3,2,8,3,4,7,5,2,3,4,7,4,2,7,8,4,6,5,7,11,7,6,3,3,6,4,6,8,8,7,4,6,6,2,3,2,0,7,5,2,1,0,4,1,1,2,0,2,0,2,5,4,4,4,2,5,1,0,2,0,1,1,1,1,1,1,2,1,0,1,1,0,0
E00045145,E01008889,471,4,11,11,13,9,11,10,11,7,10,5,8,9,6,4,5,5,6,8,3,5,7,3,6,3,13,7,12,12,12,5,13,4,9,9,9,13,11,14,12,11,4,4,5,2,7,8,7,5,4,6,8,3,7,6,4,1,3,5,0,2,2,1,2,2,0,4,1,5,1,4,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,3,2,1,0,0
E00045162,E01008889,327,2,7,5,7,5,7,9,2,8,9,3,6,7,6,3,3,3,5,5,0,4,4,1,2,6,5,7,8,8,7,5,2,5,3,7,5,11,6,5,4,7,5,3,3,1,5,5,2,2,3,4,5,2,7,3,1,4,0,2,1,4,3,4,4,4,4,1,2,1,3,0,4,5,1,2,0,3,1,1,1,2,2,1,1,0,0,0,0,0,0,1
E00045086,E01008890,457,5,9,4,8,8,5,2,8,8,6,12,4,3,8,8,5,7,6,5,3,9,14,4,10,5,13,9,4,7,7,6,7,8,11,10,4,8,7,11,8,4,2,2,6,5,5,7,2,6,7,6,9,6,3,3,6,11,6,7,8,4,6,1,5,3,1,3,1,2,2,3,1,5,5,2,1,0,2,2,2,0,0,1,0,1,1,1,1,0,0,4
E00045148,E01008890,365,3,5,11,8,5,4,4,9,1,4,2,4,4,4,4,2,5,1,5,3,7,6,4,8,8,4,7,9,7,11,3,7,10,6,3,9,4,11,4,9,9,5,5,4,3,4,5,6,7,2,6,7,8,3,2,4,3,5,6,0,3,5,4,3,0,1,1,2,1,3,1,2,2,3,1,4,0,1,3,0,0,1,0,1,0,0,1,0,1,0,2
E00045153,E01008890,410,8,7,7,3,6,9,10,7,8,6,9,4,8,7,3,4,7,7,6,7,10,5,7,7,5,7,2,6,3,5,7,9,12,5,7,8,5,3,9,5,1,3,5,10,5,1,2,6,1,4,4,4,5,7,10,5,7,3,2,5,3,3,5,5,2,4,3,4,3,4,0,3,5,0,0,0,2,1,2,2,1,2,0,3,0,1,0,1,1,0,0
E00045154,E01008890,328,7,8,3,8,8,3,7,4,1,7,4,3,2,4,3,2,4,4,4,7,10,8,4,6,4,8,5,10,4,7,2,5,4,1,10,5,3,3,4,2,3,6,5,5,4,2,5,4,2,6,9,7,3,5,5,2,1,5,2,3,2,3,5,1,4,4,1,4,1,6,3,0,3,1,2,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0
E00045158,E01008890,369,7,5,5,5,5,5,4,6,9,8,7,3,5,3,2,3,2,2,2,4,8,3,6,6,6,5,4,4,3,5,4,5,7,6,9,4,7,7,4,12,7,4,8,5,1,3,6,4,4,7,7,9,6,4,3,3,4,5,3,5,2,1,5,3,4,1,2,2,0,3,1,3,1,3,1,0,4,3,1,2,2,3,1,0,1,1,2,2,1,3,6
E00045077,E01008891,392,5,5,6,7,3,1,8,1,5,5,4,3,9,4,5,8,12,8,11,8,6,6,5,5,5,8,7,6,3,1,8,6,2,9,2,6,7,4,5,2,5,2,4,2,9,4,12,1,3,5,5,8,3,4,3,11,5,8,6,9,5,4,6,2,3,4,3,8,9,2,4,0,3,1,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,2
E00045083,E01008891,362,5,7,5,6,2,7,8,0,7,4,1,2,3,5,3,7,1,4,4,3,2,4,3,4,11,8,3,10,15,18,4,4,5,10,4,4,3,7,4,4,6,3,1,4,2,1,0,5,3,5,8,4,5,2,2,3,5,9,2,3,1,11,3,3,1,1,4,1,0,4,5,2,2,2,2,3,5,4,3,5,9,1,1,1,0,0,1,0,1,1,1
E00045088,E01008891,328,3,2,2,2,2,5,1,5,5,5,2,3,3,4,4,6,3,8,1,4,4,5,2,0,4,11,5,4,9,5,7,6,5,5,3,2,2,0,3,0,1,1,4,7,4,5,0,2,5,9,4,6,6,8,7,5,10,5,5,6,1,3,6,1,3,1,1,5,1,3,4,6,2,3,1,3,6,4,2,0,2,3,0,4,6,0,1,0,0,2,2
E00045159,E01008891,305,6,2,6,4,4,6,1,0,6,1,3,1,10,2,1,3,1,2,2,3,0,3,3,7,3,9,6,15,9,6,6,3,2,1,5,2,7,2,2,5,4,1,5,4,4,3,1,5,8,4,4,3,1,4,2,12,7,5,7,1,5,3,4,3,2,2,3,0,0,1,1,3,5,3,4,8,2,0,2,1,2,3,0,1,0,0,0,0,0,0,2
E00045164,E01008891,247,5,5,5,0,6,5,5,1,2,4,2,4,0,0,0,1,1,0,1,0,2,1,2,2,3,2,7,6,6,2,4,3,4,3,2,2,2,4,2,0,1,3,2,2,1,1,1,2,1,3,1,3,3,3,4,8,5,9,4,7,3,5,4,3,7,3,4,3,1,1,1,4,4,0,2,5,2,1,0,1,2,1,1,1,2,6,0,3,0,1,6
E00045082,E01008892,520,10,9,7,14,14,7,13,7,7,11,7,5,7,7,5,7,12,6,9,7,5,11,7,12,6,13,15,8,10,7,11,8,7,7,9,10,6,7,5,5,7,9,7,5,12,6,7,6,8,9,4,5,4,1,6,1,5,5,5,2,5,5,7,2,3,2,2,2,1,2,1,0,2,1,3,2,2,2,2,4,2,3,2,0,1,1,0,0,0,3,4
E00045160,E01008892,404,4,4,2,6,9,12,6,6,7,4,6,8,10,5,10,6,5,4,4,8,6,3,5,5,3,8,7,6,6,7,5,3,6,6,4,7,4,6,5,5,10,5,2,9,9,4,6,5,4,7,4,1,0,4,4,4,6,2,5,1,3,3,0,8,1,8,2,5,1,6,4,3,1,2,3,1,2,3,2,2,0,0,0,0,1,1,8,0,1,3,5
E00045161,E01008892,309,4,4,3,7,5,6,11,6,6,4,10,4,6,4,5,3,2,7,8,3,3,3,5,6,3,4,2,2,5,5,5,3,8,6,2,4,4,2,6,3,3,3,2,3,5,4,0,3,3,3,3,5,3,4,3,2,6,2,1,2,4,2,8,3,0,7,1,3,0,4,2,2,5,0,1,2,3,2,4,1,2,0,1,0,0,0,0,3,0,0,0
E00045165,E01008892,350,15,8,5,2,9,6,4,7,6,3,4,5,7,13,3,5,2,5,3,6,6,3,7,8,8,5,4,6,3,2,6,3,6,4,4,2,6,5,5,4,4,9,8,6,5,3,4,6,5,6,3,3,1,3,3,1,5,5,6,2,1,2,4,4,1,1,2,5,2,1,1,3,2,3,0,0,1,0,1,1,0,1,1,0,2,0,0,4,0,3,1
E00045078,E01008893,346,3,3,1,3,2,7,3,3,6,7,6,5,4,2,4,5,9,0,3,4,3,2,7,2,4,5,2,4,6,0,4,4,5,5,8,4,7,6,3,4,4,4,7,4,2,4,2,7,5,8,3,4,5,2,10,8,5,6,5,13,4,4,2,5,5,5,5,3,3,3,4,4,3,3,0,6,2,0,1,2,2,1,0,0,1,0,1,1,2,1,0
E00045084,E01008893,407,7,6,3,9,5,6,7,6,2,6,7,4,3,7,2,6,3,5,5,4,7,7,10,2,7,7,10,4,7,8,6,2,13,10,7,7,9,8,6,5,8,8,5,7,3,2,4,6,7,5,8,3,5,8,1,9,3,5,4,3,2,4,2,2,2,6,4,4,3,3,2,3,3,2,2,2,0,2,3,1,1,1,1,2,0,0,0,0,1,0,0
E00045087,E01008893,308,5,1,2,4,3,7,2,4,2,4,3,3,3,4,0,1,7,1,2,6,1,2,0,5,3,3,9,1,10,9,2,6,5,5,4,7,4,7,7,6,7,6,6,8,5,6,1,2,4,3,2,3,4,3,5,3,3,2,5,0,5,5,8,1,3,3,3,2,5,4,1,4,3,4,1,1,2,3,0,2,2,1,1,1,0,0,1,0,0,1,3
E00045092,E01008893,401,1,3,4,6,6,5,5,0,4,4,5,2,6,3,2,1,1,1,4,5,4,6,6,6,11,7,3,10,7,4,4,8,6,2,10,8,4,7,12,9,6,5,7,7,5,7,4,7,8,5,8,7,9,9,4,3,4,6,5,6,5,5,2,3,3,5,5,4,2,3,3,4,1,5,2,5,1,0,1,3,4,0,3,0,1,1,0,1,0,0,5
E00045163,E01008893,361,7,9,7,9,6,8,6,6,7,3,3,3,9,3,1,2,3,6,2,2,1,6,2,5,7,8,7,8,8,3,12,9,9,3,11,7,5,9,3,4,7,6,6,2,5,3,3,4,5,2,4,4,6,4,3,4,7,6,3,5,8,1,2,0,4,1,2,1,2,3,1,0,4,0,1,1,3,2,2,1,0,0,0,0,0,1,0,0,1,0,2
E00045079,E01008894,273,3,2,2,8,2,3,1,4,4,0,1,1,0,1,1,5,3,2,4,1,6,2,2,7,3,7,11,7,5,3,3,5,5,2,4,4,4,4,5,6,4,4,4,2,3,4,6,1,3,2,3,2,6,3,3,2,3,5,1,3,2,2,1,2,2,1,4,1,1,3,3,4,4,2,1,1,1,3,2,2,4,4,2,3,4,3,1,0,0,1,2
E00045090,E01008894,376,5,2,3,4,4,8,2,7,4,4,1,3,0,1,5,3,6,2,3,5,2,5,7,8,7,3,12,10,17,13,2,7,9,5,5,4,3,4,6,7,6,5,3,7,7,5,6,1,6,4,6,7,6,3,5,6,3,3,3,4,6,3,3,4,2,3,8,4,5,0,2,4,5,2,0,1,0,1,0,2,3,4,1,1,4,3,0,0,1,0,0
E00045091,E01008894,426,3,4,7,4,3,2,6,2,3,5,8,3,2,1,2,4,2,2,7,4,4,7,5,3,4,10,5,7,4,5,5,2,7,5,7,2,6,8,5,4,4,7,5,6,2,3,2,5,2,6,6,4,4,3,4,6,3,1,5,6,5,5,5,4,3,4,3,2,3,1,3,3,0,3,3,6,4,5,3,8,5,3,8,6,4,6,4,3,6,8,37
E00045093,E01008894,294,1,4,3,3,3,1,1,0,4,2,0,2,3,1,2,1,4,4,8,3,5,4,9,9,2,9,9,8,5,5,3,1,6,4,2,5,5,3,2,5,4,1,1,2,1,2,3,3,7,2,3,5,1,6,4,7,6,5,4,0,5,2,4,4,4,7,6,4,4,5,4,2,2,1,2,3,1,0,2,1,3,0,1,1,1,1,2,0,0,1,3
E00045096,E01008894,243,0,1,1,4,2,5,3,2,5,1,1,1,0,2,0,2,1,2,2,4,3,1,2,4,5,3,2,2,4,2,3,2,5,5,2,5,2,1,1,2,4,2,4,1,3,2,4,0,0,3,3,4,2,4,1,2,1,3,3,5,2,4,5,4,5,5,4,3,5,7,5,5,2,1,2,2,6,4,1,5,3,1,0,1,2,3,3,1,0,1,5
E00045094,E01008895,403,4,10,6,11,7,9,7,11,8,9,4,6,6,6,6,5,1,2,5,2,5,7,2,10,8,8,4,10,4,10,8,5,8,5,11,10,6,4,8,6,6,5,6,5,4,3,3,5,3,0,4,7,3,7,2,3,5,7,2,3,8,3,2,2,3,3,2,1,2,1,3,2,1,3,5,1,2,2,3,1,1,0,0,0,1,1,2,0,0,0,1
