OA11CD,LSOA11CD,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E00045110,E01008881,293,1,3,2,2,4,7,4,9,2,6,4,7,4,6,6,4,4,1,2,3,3,1,3,4,4,3,1,3,3,3,6,5,2,4,6,3,4,5,4,3,4,3,4,2,4,3,1,3,2,3,3,1,2,6,0,3,8,2,4,5,2,2,5,2,2,2,0,5,4,0,3,1,2,5,5,5,3,2,2,3,4,2,1,0,4,4,2,2,3,0,2
E00045113,E01008881,357,5,4,8,5,0,6,6,5,6,6,10,3,8,7,8,9,5,5,7,9,6,5,1,4,2,5,5,3,5,2,7,7,4,11,5,3,5,6,4,7,4,6,5,5,7,1,4,4,1,3,4,5,3,6,3,5,8,7,5,4,2,3,4,1,2,2,4,2,4,4,4,4,0,0,1,1,2,0,1,2,0,0,1,0,1,0,1,0,1,0,1
E00045116,E01008881,411,10,4,5,9,10,6,13,3,10,9,10,11,6,13,11,5,7,5,5,9,7,5,9,9,6,8,1,4,3,9,6,7,6,4,5,2,0,5,4,5,3,3,5,6,4,7,4,3,4,3,4,3,4,7,6,9,1,2,2,6,3,4,3,4,6,2,2,3,1,0,3,1,1,1,1,2,1,2,1,0,0,2,7,0,0,1,2,3,1,0,2
E00045118,E01008881,395,3,7,2,4,7,2,6,3,4,7,3,8,5,8,8,6,7,3,4,9,8,8,3,10,4,9,5,6,5,4,6,2,3,4,4,5,5,9,9,4,6,3,5,4,7,2,1,7,1,5,0,4,7,6,2,6,6,4,10,6,2,3,4,4,3,4,4,2,3,1,2,2,4,4,1,0,0,5,5,1,4,2,4,2,2,1,3,5,2,4,1
E00045123,E01008881,277,4,3,7,4,4,7,5,5,2,3,6,2,1,1,2,1,4,4,0,2,4,4,4,4,6,3,4,4,5,4,4,2,9,2,5,4,4,5,5,4,2,1,2,2,3,2,1,4,3,4,4,5,2,6,10,3,4,11,2,0,2,1,3,1,2,1,2,1,1,2,1,3,2,2,3,3,0,3,1,2,2,2,0,3,1,0,0,2,2,0,5
E00045114,E01008882,324,4,0,5,6,2,9,5,6,6,6,8,8,5,4,5,5,5,5,6,10,2,7,4,4,5,1,5,2,4,2,6,0,2,3,3,10,5,6,6,4,6,4,2,3,8,1,6,3,4,6,9,5,4,4,2,3,4,5,5,2,4,3,4,2,0,0,0,2,1,2,1,3,3,1,1,0,1,2,2,1,2,1,3,3,0,3,0,0,0,1,1
E00045119,E01008882,422,8,8,11,8,9,8,10,15,9,11,9,6,9,4,8,6,8,7,7,13,3,7,4,5,8,5,5,4,9,7,2,4,4,10,4,6,10,6,4,10,6,6,4,3,6,7,3,3,2,5,2,5,1,4,4,3,6,5,2,7,5,5,0,1,1,0,2,3,0,3,1,0,0,3,1,1,1,1,0,3,4,2,1,0,2,1,0,3,0,3,0
E00045120,E01008882,368,9,8,5,7,5,4,6,6,6,8,9,10,9,11,9,4,2,9,7,3,9,5,5,3,6,2,2,12,6,3,4,3,5,5,6,4,8,5,6,7,3,6,6,4,8,4,4,1,6,7,1,6,8,1,4,3,1,4,7,2,2,3,2,2,2,3,3,1,1,3,1,0,0,1,2,0,1,0,2,2,0,1,0,1,1,1,0,4,0,0,0
E00045121,E01008882,339,9,5,12,3,7,4,6,7,4,11,7,5,4,4,6,6,5,7,1,5,5,5,5,0,3,7,10,3,5,6,4,3,1,2,4,7,6,5,8,5,4,7,5,1,1,2,5,5,3,3,1,2,5,5,4,3,7,3,4,2,2,2,3,1,0,3,3,3,4,2,3,0,5,1,1,5,1,2,0,3,2,3,0,1,2,0,0,2,0,0,1
E00045124,E01008882,376,5,9,5,13,9,4,6,7,7,10,3,10,6,7,5,3,7,3,9,6,2,4,5,6,2,8,11,4,12,6,4,7,7,5,6,5,3,5,6,7,3,4,5,1,3,4,7,7,3,2,4,4,4,7,3,3,7,6,3,3,5,2,2,2,0,4,2,2,2,2,1,2,2,0,1,4,1,1,1,2,0,0,1,2,0,1,1,0,1,0,0
E00045122,E01008883,335,8,0,4,6,9,6,7,4,9,3,3,6,5,8,5,5,1,6,3,2,11,4,8,5,7,7,6,6,4,7,3,7,5,6,4,3,3,2,3,5,3,1,4,5,2,4,2,2,3,4,1,1,3,4,3,11,5,7,4,6,1,7,1,3,5,2,3,2,5,2,0,0,2,1,4,1,1,6,3,0,0,0,0,1,1,0,2,0,0,1,0
E00045126,E01008883,477,7,15,14,11,9,17,11,9,7,7,10,3,9,7,8,6,6,9,9,5,7,4,3,7,2,7,8,6,10,9,11,3,11,14,11,11,4,6,8,5,8,7,5,7,5,1,3,6,2,5,7,7,6,6,3,2,3,7,3,5,3,2,4,1,2,3,1,4,2,2,2,1,1,4,2,1,0,1,2,2,3,0,1,0,2,3,0,1,2,0,1
E00045127,E01008883,424,10,6,9,13,15,9,11,11,11,6,5,6,13,7,8,9,7,5,5,5,3,4,7,5,8,5,7,6,7,8,5,9,1,7,7,8,6,6,8,3,11,9,8,7,7,7,4,5,4,3,5,5,6,3,2,1,3,3,5,4,1,2,1,0,4,2,2,0,1,1,0,2,1,2,0,0,1,1,1,0,1,1,0,0,1,1,2,0,0,0,3
E00045128,E01008883,527,7,9,8,6,8,11,9,9,10,8,4,7,5,3,2,6,12,9,5,10,10,12,15,12,4,12,11,13,8,13,15,11,8,4,6,8,3,6,10,8,6,8,2,6,8,5,8,7,8,5,4,3,4,4,10,4,6,5,8,3,3,3,4,6,4,5,5,0,7,5,2,1,6,2,2,1,1,1,2,0,2,2,2,0,1,0,1,2,0,1,5
